country,Code,date,tests,cases
Argentina,ARG,8-Apr-20,13330,1715
Argentina,ARG,9-Apr-20,14850,1795
Argentina,ARG,10-Apr-20,16379,1894
Argentina,ARG,11-Apr-20,18027,1975
Argentina,ARG,12-Apr-20,,2137
Argentina,ARG,13-Apr-20,19758,2203
Argentina,ARG,14-Apr-20,22805,2272
Argentina,ARG,15-Apr-20,24374,2432
Argentina,ARG,16-Apr-20,26457,2432
Argentina,ARG,17-Apr-20,28650,2560
Argentina,ARG,18-Apr-20,30942,2658
Argentina,ARG,19-Apr-20,32712,2828
Argentina,ARG,20-Apr-20,34568,2930
Argentina,ARG,21-Apr-20,36611,3020
Argentina,ARG,22-Apr-20,39228,3132
Argentina,ARG,23-Apr-20,41786,3276
Argentina,ARG,24-Apr-20,44654,3423
Argentina,ARG,25-Apr-20,47406,3423
Argentina,ARG,26-Apr-20,49905,3767
Argentina,ARG,27-Apr-20,51900,3767
Argentina,ARG,28-Apr-20,53600,3990
Argentina,ARG,29-Apr-20,56058,4114
Argentina,ARG,30-Apr-20,,4272
Argentina,ARG,1-May-20,58685,4415
Argentina,ARG,2-May-20,,4519
Argentina,ARG,3-May-20,,4668
Argentina,ARG,4-May-20,,4770
Argentina,ARG,5-May-20,,4874
Argentina,ARG,6-May-20,,5007
Argentina,ARG,7-May-20,,5195
Australia,AUS,5-Apr-20,297154,5687
Australia,AUS,6-Apr-20,302663,5744
Australia,AUS,7-Apr-20,310700,5844
Australia,AUS,8-Apr-20,319368,5956
Australia,AUS,9-Apr-20,330134,6052
Australia,AUS,10-Apr-20,338346,6152
Australia,AUS,11-Apr-20,347847,6238
Australia,AUS,12-Apr-20,353941,6289
Australia,AUS,13-Apr-20,362136,6322
Australia,AUS,14-Apr-20,366493,6366
Australia,AUS,15-Apr-20,371377,6416
Australia,AUS,16-Apr-20,380003,6458
Australia,AUS,17-Apr-20,391530,6497
Australia,AUS,18-Apr-20,406510,6533
Australia,AUS,19-Apr-20,420996,6586
Australia,AUS,20-Apr-20,431734,6612
Australia,AUS,21-Apr-20,439842,6625
Australia,AUS,22-Apr-20,452441,6647
Australia,AUS,23-Apr-20,466659,6654
Australia,AUS,24-Apr-20,482370,6667
Australia,AUS,25-Apr-20,494257,6687
Australia,AUS,26-Apr-20,506449,6703
Australia,AUS,27-Apr-20,517063,6713
Australia,AUS,28-Apr-20,530679,6725
Australia,AUS,29-Apr-20,544410,6738
Australia,AUS,30-Apr-20,563641,6746
Australia,AUS,1-May-20,588868,6762
Australia,AUS,2-May-20,611583,6767
Australia,AUS,3-May-20,633107,6783
Australia,AUS,4-May-20,650214,6801
Australia,AUS,5-May-20,664756,6825
Australia,AUS,6-May-20,688656,6849
Australia,AUS,7-May-20,,6875
Austria,AUT,25-Feb-20,218,
Austria,AUT,26-Feb-20,321,2
Austria,AUT,27-Feb-20,447,2
Austria,AUT,28-Feb-20,763,5
Austria,AUT,29-Feb-20,1649,7
Austria,AUT,1-Mar-20,,10
Austria,AUT,2-Mar-20,,14
Austria,AUT,3-Mar-20,2683,18
Austria,AUT,4-Mar-20,3138,24
Austria,AUT,5-Mar-20,3711,29
Austria,AUT,6-Mar-20,4000,41
Austria,AUT,7-Mar-20,4308,74
Austria,AUT,8-Mar-20,4509,99
Austria,AUT,9-Mar-20,4734,102
Austria,AUT,10-Mar-20,5026,131
Austria,AUT,11-Mar-20,5362,182
Austria,AUT,12-Mar-20,5869,246
Austria,AUT,13-Mar-20,6582,361
Austria,AUT,14-Mar-20,7467,504
Austria,AUT,15-Mar-20,8167,655
Austria,AUT,16-Mar-20,8490,860
Austria,AUT,17-Mar-20,10278,1016
Austria,AUT,18-Mar-20,11977,1332
Austria,AUT,19-Mar-20,13724,1646
Austria,AUT,20-Mar-20,15613,2196
Austria,AUT,21-Mar-20,18545,2649
Austria,AUT,22-Mar-20,21368,3024
Austria,AUT,23-Mar-20,23429,3631
Austria,AUT,24-Mar-20,28391,4486
Austria,AUT,25-Mar-20,32407,5282
Austria,AUT,26-Mar-20,35995,5888
Austria,AUT,27-Mar-20,39552,7029
Austria,AUT,28-Mar-20,42750,7697
Austria,AUT,29-Mar-20,46441,8291
Austria,AUT,30-Mar-20,49455,8813
Austria,AUT,31-Mar-20,52344,9618
Austria,AUT,1-Apr-20,55863,10182
Austria,AUT,2-Apr-20,92190,10711
Austria,AUT,3-Apr-20,98343,11129
Austria,AUT,4-Apr-20,104134,11525
Austria,AUT,5-Apr-20,108416,11766
Austria,AUT,6-Apr-20,111296,11983
Austria,AUT,7-Apr-20,115235,12297
Austria,AUT,8-Apr-20,120755,12640
Austria,AUT,9-Apr-20,126287,12969
Austria,AUT,10-Apr-20,134743,13248
Austria,AUT,11-Apr-20,140975,13560
Austria,AUT,12-Apr-20,144877,13807
Austria,AUT,13-Apr-20,148412,13937
Austria,AUT,14-Apr-20,151796,14043
Austria,AUT,15-Apr-20,156801,14234
Austria,AUT,16-Apr-20,162816,14370
Austria,AUT,17-Apr-20,169272,14448
Austria,AUT,18-Apr-20,175932,14603
Austria,AUT,19-Apr-20,179243,14662
Austria,AUT,20-Apr-20,182949,14710
Austria,AUT,21-Apr-20,189018,14783
Austria,AUT,22-Apr-20,201794,14833
Austria,AUT,23-Apr-20,205835,14924
Austria,AUT,24-Apr-20,212686,14985
Austria,AUT,25-Apr-20,221089,15068
Austria,AUT,26-Apr-20,227631,15134
Austria,AUT,27-Apr-20,232537,15189
Austria,AUT,28-Apr-20,239578,15256
Austria,AUT,29-Apr-20,247754,15314
Austria,AUT,30-Apr-20,256399,15364
Austria,AUT,1-May-20,264079,15424
Austria,AUT,2-May-20,269619,15458
Austria,AUT,3-May-20,274355,15470
Austria,AUT,4-May-20,279071,15538
Austria,AUT,5-May-20,285883,15569
Austria,AUT,6-May-20,292254,15586
Austria,AUT,7-May-20,,15651
Bahrain,BHR,16-Mar-20,12131,214
Bahrain,BHR,17-Mar-20,13553,221
Bahrain,BHR,18-Mar-20,,237
Bahrain,BHR,19-Mar-20,,256
Bahrain,BHR,20-Mar-20,19098,269
Bahrain,BHR,21-Mar-20,,285
Bahrain,BHR,22-Mar-20,,306
Bahrain,BHR,23-Mar-20,25169,334
Bahrain,BHR,24-Mar-20,,339
Bahrain,BHR,25-Mar-20,,390
Bahrain,BHR,26-Mar-20,29533,419
Bahrain,BHR,27-Mar-20,,458
Bahrain,BHR,28-Mar-20,,466
Bahrain,BHR,29-Mar-20,31895,473
Bahrain,BHR,30-Mar-20,32596,500
Bahrain,BHR,31-Mar-20,,515
Bahrain,BHR,1-Apr-20,,567
Bahrain,BHR,2-Apr-20,,569
Bahrain,BHR,3-Apr-20,37996,643
Bahrain,BHR,4-Apr-20,39256,643
Bahrain,BHR,5-Apr-20,44386,688
Bahrain,BHR,6-Apr-20,47684,700
Bahrain,BHR,7-Apr-20,50127,756
Bahrain,BHR,8-Apr-20,52804,811
Bahrain,BHR,9-Apr-20,55096,823
Bahrain,BHR,10-Apr-20,57681,887
Bahrain,BHR,11-Apr-20,60706,998
Bahrain,BHR,12-Apr-20,63973,1040
Bahrain,BHR,13-Apr-20,67327,1136
Bahrain,BHR,14-Apr-20,70813,1361
Bahrain,BHR,15-Apr-20,73272,1528
Bahrain,BHR,16-Apr-20,76944,1673
Bahrain,BHR,17-Apr-20,79612,1700
Bahrain,BHR,18-Apr-20,82568,1744
Bahrain,BHR,19-Apr-20,86732,1773
Bahrain,BHR,20-Apr-20,90307,1873
Bahrain,BHR,21-Apr-20,94380,1907
Bahrain,BHR,22-Apr-20,97796,1973
Bahrain,BHR,23-Apr-20,100031,2007
Bahrain,BHR,24-Apr-20,105365,2217
Bahrain,BHR,25-Apr-20,110407,2518
Bahrain,BHR,26-Apr-20,114110,2589
Bahrain,BHR,27-Apr-20,117797,2647
Bahrain,BHR,28-Apr-20,121706,2723
Bahrain,BHR,29-Apr-20,126905,2811
Bahrain,BHR,30-Apr-20,129694,2921
Bahrain,BHR,1-May-20,134082,3040
Bahrain,BHR,2-May-20,138278,3170
Bahrain,BHR,3-May-20,144155,3284
Bahrain,BHR,4-May-20,149586,3383
Bahrain,BHR,5-May-20,155501,3533
Bahrain,BHR,6-May-20,160341,3720
Bahrain,BHR,7-May-20,,3934
Bangladesh,BGD,4-Mar-20,108,
Bangladesh,BGD,5-Mar-20,111,
Bangladesh,BGD,7-Mar-20,120,
Bangladesh,BGD,8-Mar-20,127,
Bangladesh,BGD,9-Mar-20,137,3
Bangladesh,BGD,10-Mar-20,147,
Bangladesh,BGD,11-Mar-20,163,
Bangladesh,BGD,12-Mar-20,187,
Bangladesh,BGD,13-Mar-20,211,
Bangladesh,BGD,14-Mar-20,241,
Bangladesh,BGD,15-Mar-20,268,3
Bangladesh,BGD,16-Mar-20,293,
Bangladesh,BGD,17-Mar-20,342,5
Bangladesh,BGD,18-Mar-20,381,8
Bangladesh,BGD,19-Mar-20,427,10
Bangladesh,BGD,20-Mar-20,463,10
Bangladesh,BGD,21-Mar-20,499,17
Bangladesh,BGD,22-Mar-20,564,24
Bangladesh,BGD,23-Mar-20,620,27
Bangladesh,BGD,24-Mar-20,712,33
Bangladesh,BGD,25-Mar-20,794,39
Bangladesh,BGD,26-Mar-20,920,39
Bangladesh,BGD,27-Mar-20,1026,48
Bangladesh,BGD,28-Mar-20,1076,48
Bangladesh,BGD,29-Mar-20,1185,48
Bangladesh,BGD,30-Mar-20,1338,49
Bangladesh,BGD,31-Mar-20,1602,49
Bangladesh,BGD,1-Apr-20,1759,51
Bangladesh,BGD,2-Apr-20,1906,54
Bangladesh,BGD,3-Apr-20,2113,56
Bangladesh,BGD,4-Apr-20,2547,61
Bangladesh,BGD,5-Apr-20,2914,70
Bangladesh,BGD,6-Apr-20,3610,88
Bangladesh,BGD,7-Apr-20,4402,123
Bangladesh,BGD,8-Apr-20,5383,164
Bangladesh,BGD,9-Apr-20,6480,218
Bangladesh,BGD,10-Apr-20,7664,330
Bangladesh,BGD,11-Apr-20,8313,424
Bangladesh,BGD,12-Apr-20,9653,482
Bangladesh,BGD,13-Apr-20,11223,621
Bangladesh,BGD,14-Apr-20,13128,803
Bangladesh,BGD,15-Apr-20,14868,1012
Bangladesh,BGD,16-Apr-20,17003,1231
Bangladesh,BGD,17-Apr-20,19193,1572
Bangladesh,BGD,18-Apr-20,21307,1838
Bangladesh,BGD,19-Apr-20,23941,2144
Bangladesh,BGD,20-Apr-20,26604,2456
Bangladesh,BGD,21-Apr-20,29578,2948
Bangladesh,BGD,22-Apr-20,32674,3382
Bangladesh,BGD,23-Apr-20,36090,3772
Bangladesh,BGD,24-Apr-20,39776,4186
Bangladesh,BGD,25-Apr-20,43012,4689
Bangladesh,BGD,26-Apr-20,46485,4998
Bangladesh,BGD,27-Apr-20,50297,5416
Bangladesh,BGD,28-Apr-20,54733,5913
Bangladesh,BGD,29-Apr-20,59701,6462
Bangladesh,BGD,30-Apr-20,64666,7103
Bangladesh,BGD,1-May-20,70239,7667
Bangladesh,BGD,2-May-20,76066,8238
Bangladesh,BGD,3-May-20,81454,8790
Bangladesh,BGD,4-May-20,87698,9455
Bangladesh,BGD,5-May-20,93403,10143
Bangladesh,BGD,6-May-20,99644,10929
Bangladesh,BGD,7-May-20,,11719
Belarus,BLR,30-Mar-20,30000,94
Belarus,BLR,31-Mar-20,31000,105
Belarus,BLR,1-Apr-20,32000,152
Belarus,BLR,2-Apr-20,,152
Belarus,BLR,3-Apr-20,,254
Belarus,BLR,4-Apr-20,,351
Belarus,BLR,5-Apr-20,,394
Belarus,BLR,6-Apr-20,40000,564
Belarus,BLR,7-Apr-20,,700
Belarus,BLR,8-Apr-20,46000,861
Belarus,BLR,9-Apr-20,49000,1066
Belarus,BLR,10-Apr-20,,1486
Belarus,BLR,11-Apr-20,,1981
Belarus,BLR,12-Apr-20,64000,2226
Belarus,BLR,13-Apr-20,68000,2578
Belarus,BLR,14-Apr-20,71875,2919
Belarus,BLR,15-Apr-20,76198,3281
Belarus,BLR,16-Apr-20,,3728
Belarus,BLR,17-Apr-20,86813,4204
Belarus,BLR,18-Apr-20,92709,4779
Belarus,BLR,19-Apr-20,98231,4779
Belarus,BLR,20-Apr-20,102566,4779
Belarus,BLR,21-Apr-20,108545,6264
Belarus,BLR,22-Apr-20,114955,6723
Belarus,BLR,23-Apr-20,122543,7281
Belarus,BLR,24-Apr-20,130824,8022
Belarus,BLR,25-Apr-20,139295,8773
Belarus,BLR,26-Apr-20,147525,9590
Belarus,BLR,27-Apr-20,153800,10463
Belarus,BLR,28-Apr-20,161028,11289
Belarus,BLR,29-Apr-20,,12208
Belarus,BLR,30-Apr-20,,13181
Belarus,BLR,1-May-20,186262,14027
Belarus,BLR,2-May-20,,14917
Belarus,BLR,3-May-20,,15828
Belarus,BLR,4-May-20,211369,16705
Belarus,BLR,5-May-20,,17489
Belarus,BLR,6-May-20,,18350
Belarus,BLR,7-May-20,,19255
Belgium,BEL,15-Mar-20,12700,689
Belgium,BEL,16-Mar-20,14218,886
Belgium,BEL,17-Mar-20,16069,1085
Belgium,BEL,18-Mar-20,18275,1243
Belgium,BEL,19-Mar-20,20961,1486
Belgium,BEL,20-Mar-20,23459,1795
Belgium,BEL,21-Mar-20,25288,2257
Belgium,BEL,22-Mar-20,26397,2815
Belgium,BEL,23-Mar-20,28925,3401
Belgium,BEL,24-Mar-20,32032,3743
Belgium,BEL,25-Mar-20,35435,4269
Belgium,BEL,26-Mar-20,38706,4937
Belgium,BEL,27-Mar-20,42546,6235
Belgium,BEL,28-Mar-20,45586,7284
Belgium,BEL,29-Mar-20,47472,9134
Belgium,BEL,30-Mar-20,50620,10836
Belgium,BEL,31-Mar-20,55535,11899
Belgium,BEL,1-Apr-20,59879,12775
Belgium,BEL,2-Apr-20,64366,13964
Belgium,BEL,3-Apr-20,69141,15348
Belgium,BEL,4-Apr-20,73091,16770
Belgium,BEL,5-Apr-20,75513,18431
Belgium,BEL,6-Apr-20,79522,19691
Belgium,BEL,7-Apr-20,84856,20814
Belgium,BEL,8-Apr-20,90325,22194
Belgium,BEL,9-Apr-20,95884,23403
Belgium,BEL,10-Apr-20,101946,24983
Belgium,BEL,11-Apr-20,108172,26667
Belgium,BEL,12-Apr-20,113961,28018
Belgium,BEL,13-Apr-20,119329,29647
Belgium,BEL,14-Apr-20,125247,30589
Belgium,BEL,15-Apr-20,132973,31119
Belgium,BEL,16-Apr-20,140605,33573
Belgium,BEL,17-Apr-20,148950,34809
Belgium,BEL,18-Apr-20,157120,36138
Belgium,BEL,19-Apr-20,162965,37183
Belgium,BEL,20-Apr-20,171970,38496
Belgium,BEL,21-Apr-20,179789,39983
Belgium,BEL,22-Apr-20,192725,40956
Belgium,BEL,23-Apr-20,207091,41889
Belgium,BEL,24-Apr-20,223057,42797
Belgium,BEL,25-Apr-20,237788,44293
Belgium,BEL,26-Apr-20,249877,45325
Belgium,BEL,27-Apr-20,264710,46134
Belgium,BEL,28-Apr-20,281604,46687
Belgium,BEL,29-Apr-20,301414,47334
Belgium,BEL,30-Apr-20,323015,47859
Belgium,BEL,1-May-20,344656,48519
Belgium,BEL,2-May-20,359501,49032
Belgium,BEL,3-May-20,371593,49517
Belgium,BEL,4-May-20,391314,49906
Belgium,BEL,5-May-20,,50267
Belgium,BEL,6-May-20,,50509
Belgium,BEL,7-May-20,,50781
Bolivia,BOL,15-Apr-20,3230,397
Bolivia,BOL,16-Apr-20,3419,441
Bolivia,BOL,17-Apr-20,3573,465
Bolivia,BOL,18-Apr-20,3600,493
Bolivia,BOL,19-Apr-20,4135,520
Bolivia,BOL,20-Apr-20,4298,564
Bolivia,BOL,21-Apr-20,4420,598
Bolivia,BOL,22-Apr-20,4810,609
Bolivia,BOL,23-Apr-20,4995,672
Bolivia,BOL,24-Apr-20,5297,703
Bolivia,BOL,25-Apr-20,5356,807
Bolivia,BOL,26-Apr-20,5791,866
Bolivia,BOL,27-Apr-20,5988,950
Bolivia,BOL,28-Apr-20,6121,1014
Bolivia,BOL,29-Apr-20,6409,1053
Bolivia,BOL,30-Apr-20,6551,1110
Bolivia,BOL,1-May-20,6613,1167
Bolivia,BOL,2-May-20,7556,1229
Bolivia,BOL,3-May-20,7680,1470
Bolivia,BOL,4-May-20,7767,1594
Bolivia,BOL,5-May-20,7888,1681
Bolivia,BOL,6-May-20,,1802
Bolivia,BOL,7-May-20,,1886
Bulgaria,BGR,1-May-20,46510,1506
Bulgaria,BGR,2-May-20,47636,1588
Bulgaria,BGR,3-May-20,48618,1594
Bulgaria,BGR,4-May-20,49145,1618
Bulgaria,BGR,5-May-20,50303,1652
Bulgaria,BGR,6-May-20,51768,1689
Bulgaria,BGR,7-May-20,,1778
Canada,CAN,18-Mar-20,53975,569
Canada,CAN,19-Mar-20,54956,690
Canada,CAN,20-Mar-20,76814,846
Canada,CAN,21-Mar-20,88883,971
Canada,CAN,22-Mar-20,98824,1302
Canada,CAN,23-Mar-20,107147,1430
Canada,CAN,24-Mar-20,125062,1646
Canada,CAN,25-Mar-20,142154,1959
Canada,CAN,26-Mar-20,161603,3385
Canada,CAN,27-Mar-20,170644,4018
Canada,CAN,28-Mar-20,184201,4675
Canada,CAN,29-Mar-20,210435,5386
Canada,CAN,30-Mar-20,241138,6255
Canada,CAN,31-Mar-20,,7424
Canada,CAN,1-Apr-20,256933,8536
Canada,CAN,2-Apr-20,268154,9595
Canada,CAN,3-Apr-20,295065,11268
Canada,CAN,4-Apr-20,311971,12519
Canada,CAN,5-Apr-20,334849,13882
Canada,CAN,6-Apr-20,336806,15496
Canada,CAN,7-Apr-20,346507,16653
Canada,CAN,8-Apr-20,359269,17883
Canada,CAN,9-Apr-20,373581,19274
Canada,CAN,10-Apr-20,383322,20748
Canada,CAN,11-Apr-20,401552,22133
Canada,CAN,12-Apr-20,404651,23301
Canada,CAN,13-Apr-20,428920,24365
Canada,CAN,14-Apr-20,450717,25663
Canada,CAN,15-Apr-20,462353,27046
Canada,CAN,16-Apr-20,487060,28364
Canada,CAN,17-Apr-20,503003,30081
Canada,CAN,18-Apr-20,516216,31872
Canada,CAN,19-Apr-20,536062,33341
Canada,CAN,20-Apr-20,555551,34777
Canada,CAN,21-Apr-20,565931,36823
Canada,CAN,22-Apr-20,576348,38413
Canada,CAN,23-Apr-20,620101,40179
Canada,CAN,24-Apr-20,643398,42099
Canada,CAN,25-Apr-20,669558,43877
Canada,CAN,26-Apr-20,691663,45341
Canada,CAN,27-Apr-20,717451,46884
Canada,CAN,28-Apr-20,740859,48489
Canada,CAN,29-Apr-20,758412,50015
Canada,CAN,30-Apr-20,788283,51587
Canada,CAN,1-May-20,832222,53236
Canada,CAN,2-May-20,,55061
Canada,CAN,3-May-20,893490,56714
Canada,CAN,4-May-20,919368,59474
Canada,CAN,5-May-20,940567,60772
Canada,CAN,6-May-20,942526,62046
Canada,CAN,7-May-20,,63496
Chile,CHL,15-Apr-20,91873,7917
Chile,CHL,16-Apr-20,98424,8273
Chile,CHL,17-Apr-20,103873,8807
Chile,CHL,18-Apr-20,108891,9252
Chile,CHL,19-Apr-20,113649,9730
Chile,CHL,20-Apr-20,118827,10088
Chile,CHL,21-Apr-20,122357,10507
Chile,CHL,22-Apr-20,128722,10832
Chile,CHL,23-Apr-20,135147,11296
Chile,CHL,24-Apr-20,142267,11812
Chile,CHL,25-Apr-20,149212,12306
Chile,CHL,26-Apr-20,155975,12858
Chile,CHL,27-Apr-20,161235,13331
Chile,CHL,28-Apr-20,166165,13813
Chile,CHL,29-Apr-20,172619,14365
Chile,CHL,30-Apr-20,180517,14885
Chile,CHL,1-May-20,189433,16023
Chile,CHL,2-May-20,199400,17008
Chile,CHL,3-May-20,206218,18435
Chile,CHL,4-May-20,214131,19663
Chile,CHL,5-May-20,222095,20643
Chile,CHL,6-May-20,232108,22016
Chile,CHL,7-May-20,,23048
Colombia,COL,16-Mar-20,3607,45
Colombia,COL,17-Mar-20,3931,57
Colombia,COL,18-Mar-20,4690,65
Colombia,COL,19-Mar-20,5363,102
Colombia,COL,20-Mar-20,5766,128
Colombia,COL,21-Mar-20,6064,158
Colombia,COL,22-Mar-20,6910,210
Colombia,COL,23-Mar-20,7285,235
Colombia,COL,24-Mar-20,8051,306
Colombia,COL,25-Mar-20,8797,378
Colombia,COL,26-Mar-20,9228,470
Colombia,COL,27-Mar-20,9486,491
Colombia,COL,28-Mar-20,10851,539
Colombia,COL,29-Mar-20,12325,608
Colombia,COL,30-Mar-20,13816,702
Colombia,COL,31-Mar-20,17863,798
Colombia,COL,1-Apr-20,20253,906
Colombia,COL,2-Apr-20,21412,1065
Colombia,COL,3-Apr-20,22752,1161
Colombia,COL,4-Apr-20,23989,1267
Colombia,COL,5-Apr-20,25547,1406
Colombia,COL,6-Apr-20,27968,1485
Colombia,COL,7-Apr-20,30728,1579
Colombia,COL,8-Apr-20,33858,1780
Colombia,COL,9-Apr-20,35193,2054
Colombia,COL,10-Apr-20,37876,2223
Colombia,COL,11-Apr-20,40618,2473
Colombia,COL,12-Apr-20,41780,2709
Colombia,COL,13-Apr-20,43036,2776
Colombia,COL,14-Apr-20,45351,2852
Colombia,COL,15-Apr-20,48556,2979
Colombia,COL,16-Apr-20,52013,3105
Colombia,COL,17-Apr-20,55501,3233
Colombia,COL,18-Apr-20,58930,3439
Colombia,COL,19-Apr-20,62674,3621
Colombia,COL,20-Apr-20,65097,3792
Colombia,COL,21-Apr-20,68356,3977
Colombia,COL,22-Apr-20,71407,4149
Colombia,COL,23-Apr-20,74864,4356
Colombia,COL,24-Apr-20,77985,4561
Colombia,COL,25-Apr-20,81053,4881
Colombia,COL,26-Apr-20,87106,5142
Colombia,COL,27-Apr-20,90899,5379
Colombia,COL,28-Apr-20,95085,5597
Colombia,COL,29-Apr-20,100153,5949
Colombia,COL,30-Apr-20,104657,6211
Colombia,COL,1-May-20,108950,6507
Colombia,COL,2-May-20,114602,7006
Colombia,COL,3-May-20,118801,7285
Colombia,COL,4-May-20,123029,7668
Colombia,COL,5-May-20,127105,7973
Colombia,COL,6-May-20,,8613
Colombia,COL,7-May-20,,8959
Costa Rica,CRI,20-Mar-20,1087,87
Costa Rica,CRI,21-Mar-20,1235,113
Costa Rica,CRI,22-Mar-20,1462,117
Costa Rica,CRI,23-Mar-20,1619,134
Costa Rica,CRI,24-Mar-20,1784,158
Costa Rica,CRI,25-Mar-20,1813,177
Costa Rica,CRI,26-Mar-20,2490,201
Costa Rica,CRI,27-Mar-20,2977,231
Costa Rica,CRI,28-Mar-20,3135,263
Costa Rica,CRI,29-Mar-20,3357,295
Costa Rica,CRI,30-Mar-20,3620,314
Costa Rica,CRI,31-Mar-20,3773,330
Costa Rica,CRI,1-Apr-20,4146,347
Costa Rica,CRI,2-Apr-20,4278,375
Costa Rica,CRI,3-Apr-20,4388,396
Costa Rica,CRI,4-Apr-20,4582,416
Costa Rica,CRI,5-Apr-20,5026,435
Costa Rica,CRI,6-Apr-20,5291,454
Costa Rica,CRI,7-Apr-20,5453,467
Costa Rica,CRI,8-Apr-20,5963,483
Costa Rica,CRI,9-Apr-20,6226,502
Costa Rica,CRI,10-Apr-20,6380,539
Costa Rica,CRI,11-Apr-20,6536,558
Costa Rica,CRI,12-Apr-20,6690,577
Costa Rica,CRI,13-Apr-20,6796,595
Costa Rica,CRI,14-Apr-20,6872,612
